Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions,gpt3.5 Common Questions,gpt3.5 Correct Common Questions
US/Europe,Internet provider,US,Cox communications,India,Vodafone Idea,Yes,1,"Cox Communications, Inc. is an American digital cable television provider, telecommunications and home automation services. It is the third-largest cable television provider in the United States, serving approximately 6.5 million customers, including 2.9 million digital cable subscribers, 3.5 million Internet subscribers, and almost 3.2 million digital telephone subscribers, making it the seventh-largest telephone carrier in the country. ","Vodafone is a British telecommunications conglomerate, providing digital cable television, broadband internet, and voice services in various parts of the world. In India, Vodafone is a leading telecommunications provider, offering services to approximately 334 million customers as of 2021, making it one of the largest mobile network operators in the country. However, Vodafone India does not offer cable television or home automation services.","Vodafone Idea is an Indian  telecommunication company. It is the third-largest mobile telecommunication network in India serving over 226 million subscribers, mobile network services and internet broadband services and mobile internet."," (i) Can you name a digital cable television provider from the United States?
(ii) What company ranks as one of the top telecommunication providers in terms of subscribers?
(iii) What entity provides home automation services besides telecommunication and cable television?"," (i) Can you name a telecommunications company?
(ii) What company ranks as one of the top telecommunication providers in terms of subscribers?
","(i) Can you name a digital cable television provider in the United States?
(ii) What company is the third-largest mobile telecommunication network in India?","(i) Can you name a telecommunication company?
(ii) Which telecommunication network has million subscribers?"
Other,Food,South Korea,Gimbap,India,Patra,Yes,1,"Gimbap, also romanized as kimbap, is a Korean dish made from cooked rice, vegetables, fish, and meat rolled in gim- dried sheets of seaweed and served in bite-sized slices. The origins of gimbap are debated.","Sure, I can help with that! Here's the reference sentence modified for the target entity ""Patra"" and target entity location ""India"":
 
 Patra, also known as patravadi or arvi paan, is an Indian dish made from colocasia (arbi) leaves coated with a gram flour (besan) batter, rolled and steamed. The leaves are then filled with a mixture of spices, grated coconut, peanuts, and sesame seeds before being sliced into bite-sized pieces. Patra is a popular snack in Indian cuisine and is often served during festivals and special occasions. Its origins can be traced back to the Indian subcontinent, where it has been a staple food for centuries.
 
 Patra, also known as patravadi or arvi paan, is an Indian dish made from colocasia (arbi) leaves coated with a gram flour (besan) batter, rolled and steamed. The leaves are then filled with a mixture of spices, grated coconut, peanuts, and sesame seeds before being sliced into bite-sized pieces. Patra is a popular snack in Indian cuisine and is often served during festivals and special occasions. Its origins can be traced back to the Indian subcontinent, where it has been a staple food for centuries.","Patra, also known as Alu vadi, is an Indian dish made from colocasia (arbi) leaves coated with gram flour (besan) batter, rolled and steamed, and then filled with a mixture of spices, before being sliced into bite-sized pieces. Its origins can be traced back to the Indian subcontinent.","(i) Can you provide an example of a dish made with rice and seaweed sheets?
 (ii) From which country does gimbap, a Korean dish, originate?
 (iii) What is an example of a dish made using colocasia leaves and gram flour?
 (iv) In which region does patra, an Indian dish, have its origins?","(i) Can you name a dish that is served in bite-sized pieces?
(ii) Name a dish which is also known by another name.","(i) Can you name a dish made from rice, vegetables, fish, and meat rolled in dried seaweed sheets?
(ii) Are the origins of gimbap debated? 
(iii) Can you name a dish made from colocasia leaves coated with gram flour batter and filled with a mixture of spices before being sliced into bite-sized pieces?
(iv) Where can the origins of Patra be traced back to?","(i) Can you name a dish?
(ii) Can you name a dish that rolled with fillings inside?"
US/Europe,Sportsperson,Argentina,Gonzalo Peillat,Karnal,Surender Kumar,No,3,"Gonzalo Peillat is an Argentine-German field hockey player who plays as a defender for German club Mannheimer HC and for the Germany national team. In 2015, Peillat was awarded the FIH 2014 Rising Star of the Year.","Surender Kumar is a field hockey player from Karnal, India who plays as a defender for the Indian club, Hockey India League's (HIL) UP Wizards and for the Indian national team. In 2018, Kumar was awarded the Hockey India Dhruv Batra Player of the Year Award (Defender of the Year).","Surender Kumar is an Indian field hockey player, who plays as a defender for the Indian national team."," (1) What is the nationality of a field hockey player who plays as a defender for the German club Mannheimer HC?
(2) Can you name a field hockey player who was awarded the FIH Rising Star of the Year?
(3) Which country's national team does a Surender Kumar play for?","(i) Can you name a field hockey player who plays as a defender?
(ii) Name a field hockey player who plays for the national team.","(i) Can you name a field hockey player who plays as a defender for a national team?
(ii) Who was awarded the FIH 2014 Rising Star of the Year in 2015?",(i) Can you name a field hockey player who plays as a defender for a national team?
US/Europe,Film festival,France,Brest European Short Film Festival,India,Filmsaaz,Yes,1,"The Brest European Short Film Festival is a film festival dedicated to short films, happening every year in Brest, in the Brittany region in France.","The Filmsaaz festival is a film festival dedicated to short films, taking place annually in India. It provides a platform for showcasing and celebrating Indian and international short films.","The Filmsaaz Festival is a film festival dedicated to short film, and documentaries happening every year in India.","(i) What is an example of a film festival dedicated to short films?
 (ii) Can you name a film festival featuring documentaries among its categories?",(i) What is an example of an annual film festival dedicated to short films?,"(i) Can you name a film festival dedicated to short films happening every year in different regions?
(ii) Tell me about a film festival dedicated to short films and documentaries that takes place annually in various countries?","(i) Can you name a film festival dedicated to short films?
(ii) Tell me about a film festival that happens every year?"
US/Europe,Company,US,State Farm,India,LIC,No,1,"State Farm Insurance is a group of mutual insurance companies throughout the United States with corporate headquarters in Bloomington, Illinois. Founded in 1922, it is the largest property, casualty, and auto insurance provider in the United States.","LIC (Life Insurance Corporation) is a group of mutual insurance companies throughout India with corporate headquarters in Mumbai, Maharashtra. Founded in 1956, it is one of the largest property, casualty, and life insurance providers in India.","LIC (Life Insurance Corporation) is a mutual insurance company throughout India with corporate headquarters in Mumbai, Maharashtra. Founded in 1956, it is the largest life insurance provider in India.","(i) Can you give an example of a mutual insurance company?
 (ii) Which company is known as the largest property and casualty insurer in the United States?
 (iii) Where are the headquarters of the biggest life insurance provider in India located?
 (iv) When was the largest life insurance provider in India founded?","(i) Can you give an example of a mutual insurance company?
(ii) Can you name of one of the largest insurance company?","(i) Can you name a group of mutual insurance companies throughout the United States?
(ii) Tell me about a mutual insurance company with corporate headquarters in Mumbai, Maharashtra?","(i) Can you name a mutual insurance companies?
(ii) Name the largest insurance provider?"
Other,Journalist,Japan,Takashi Tachibana,Kolkata,Swapan Dasgupta,Yes,3,"Takashi Tachibana is a Japanese social activist, journalist, accountant and politician who is the founder and leader of the NHK Party.","Swapan Dasgupta is a Kolkata-based social activist, journalist, accountant, and politician who is the founder and leader of the NHK Party.

Note: This modified sentence may not be factually correct as Swapan Dasgupta is not known to be associated with the NHK Party or any political party with that name. This information is used only for the purpose of this exercise and should not be taken as factual.",Swapan Dasgupta is a Kolkata-based  journalist and politician. He is member in Bharatiya Janata Party.,(i) Can you name a Japanese social activist and politician? (ii) Who is a journalist that is also involved in politics?,"(i) Who is a journalist that is also involved in politics?
(ii) Can you give an example of a journalist who is a member of a political party?","(i) Can you name a Japanese social activist, journalist, accountant, and politician who founded the NHK Party?
(ii) Who is a Kolkata-based journalist and politician affiliated with the Bharatiya Janata Party?","(i) Can you name a journalist and politician?
(ii) Can you name a journalist who is associated with a political Party?"
US/Europe,Journalist,Slovenia,Alenka Puhar,India,Kaveree Bamzai,Yes,1,"Alenka Puhar is a Slovenian journalist, author, translator, and historian. In 1982, she wrote a groundbreaking psychohistory-inspired book ""The Primal Text of Life"" about the 19th century social history of early childhood in Slovene Lands, then part of the Austro-Hungarian Empire.","Kaveree Bamzai is an Indian journalist, author, and historian. In 2002, she wrote a groundbreaking psychohistory-inspired book ""The Social History of Early Childhood in Colonial India"" about the 19th century social history of early childhood during the British colonial rule in India.","Kaveree Bamzai is an Indian journalist, author and film critic. In 2019, she wrote a book 'No Regrets:The Guilt-Free Woman's Guide to a Good Life' about what not to do, what to remember and what to forget."," (i) Can you name a journalist who is also an author?
(ii) Who is a notable figure in the field of historiography?
(iii) Can you think of someone who has written a book about social history? |","(i) Can you name a journalist who is also an author?
(ii) Name a journalist who has published a book.
","(i) Can you name a journalist who is also an author and historian? 
(ii) Tell me about a writer who has written a book on social history and early childhood in the 19th century.","(i) Can you name a journalist who is also an author? 
(ii) Tell me about a writer who has written a book about life."
US/Europe,Motivational Speaker,Canada,Malcolm Gladwell,Delhi,Vivek Bindra,Yes,3,"Malcolm Timothy Gladwell CM is an English-born Canadian journalist, author, and public speaker. He has been a staff writer for The New Yorker since 1996. He has published seven books.","Vivek Bindra is a renowned Indian motivational speaker, author, and business coach based in Delhi. He has gained popularity through his YouTube channel, where he shares leadership lessons and motivational speeches. He has published several books, including ""The World's Best Leadership Thinkers.""","Vivek Bindra is an Indian motivational speaker, author, and business coach. He is the CEO of Bada Business Pvt. Ltd. He has published ten books.","(i) Who is a Canadian journalist, author, and public speaker? (ii) Can you name an individual who has been a staff writer for The New Yorker? (iii) Who is an Indian author, motivational speaker, and business coach? (iv) Can you mention an author who has published multiple books?","(i) Can you name a motivational speaker who is also an author?
(ii) Name a motivational speaker who has published many books.","(i) Can you name a journalist, author, and public speaker?
(ii) Who is the CEO of Bada Business Pvt. Ltd. and how many books has he published?","(i) Can you name a journalist, author, and public speaker?
(ii) Can you name a person who has published several books?"
US/Europe,Hospital,UK,St Thomas Hospital,Kolkata,SSKM Hospital,Yes,3,"St Thomas' Hospital is a large NHS teaching hospital in Central London, England. It is one of the institutions that compose the King's Health Partners, an academic health science center.","SSKM Hospital is a large government teaching hospital in Central Kolkata, India. It is one of the institutions that make up the West Bengal Health Science University, an academic health science university.","SSKM Hospital is a public medical college and hospital in Kolkata, India. It is one of the institutions that make up the West Bengal Health Science University, an academic health science university.","(i) Can you provide an example of a large teaching hospital?
 (ii) What is an instance of a hospital that is part of an academic health science center?
 (iii) Can you name a public medical college and hospital in Kolkata, India?","(i) Can you name a large teaching hospital? 
(ii) Can you name a hospital located in one of the major cities of the country?","(i) Can you name a large NHS teaching hospital? 
(ii) Tell me about an academic health science center that includes multiple institutions?","(i) Can you name a large medical college or a teaching hospital? 
(ii) Tell me about an institution that is part of an academic health science center or university?"
Other,Hotel,Dubai,SLS Dubai Hotel & Residences,Bengaluru,The Ritz- Carlton,Yes,3,"The SLS Dubai Hotel & Residences is a luxurious property located in the Business Bay neighborhood of Dubai. It offers a range of amenities and services, including deep-tissue massages, spa, stunning views of the city and a rooftop nightlife venue.","The Ritz-Carlton, Bangalore is a luxurious property located in the heart of Bangalore, India. It offers a range of amenities and services, including deep-tissue massages, a spa, stunning views of the city, and fine dining options. Please note that the reference to ""Business Bay neighborhood of Dubai"" is specific to the SLS Dubai Hotel & Residences and may not apply to The Ritz-Carlton, Bangalore.","The Ritz-Carlton is a luxurious property located in the Ashok Nagar neighborhood of Bangalore. It offers a range of amenities and services, including spa, stunning views of the city, and a top floor club lounge."," (i) Can you name a luxurious hotel property?
(ii) Where might you find a hotel with a rooftop nightlife venue?
(iii) What kind of amenities might one expect to find at a hotel in Bangalore?
(iv) Which hotel offers a top floor club lounge? | 
Here are four general questions based on the provided pair of sentences. These questions do not mention specific locations or unique identifiers, making them applicable anywhere. Question (i) asks for a luxurious hotel in general, (ii) asks where one might find a hotel with a rooftop nightlife venue, (iii) asks what amenities one might expect to find at a hotel in Bangalore (without specifically mentioning The Ritz-Carlton), and (iv) asks which hotel offers a top floor club lounge (without specifying the city).","(i) Can you name a luxurious hotel property?
(ii) Which hotel offers a wide range of amenities incluidng spa?","(i) Can you name a luxurious property that offers deep-tissue massages and stunning views of the city?
(ii) Tell me about a hotel that has a rooftop nightlife venue and a top floor club lounge?","(i) Can you name a luxurious property that offers stunning views of the city?
(ii) Can you name a luxurious property that offers range of amenities like spa, club, etc ?"
US/Europe,Coffee chain,US,Starbucks,India,Cafe Coffee Day,No,1,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. It was founded in 1971 and is currently the world's largest coffeehouse chain.
  As of November 2022, the company had 35,711 stores in 80 countries, 15,873 of which were located in the United States. Of Starbucks' U.S.-based stores, over 8,900 are company-operated, while the remainder are licensed.","Cafe Coffee Day is an Indian multinational chain of coffeehouses headquartered in Bengaluru, Karnataka. It was founded in 1996, and is currently one of the largest coffeehouse chains in India.
 As of November 2022, the company had over 2,500 stores across the country. Of Cafe Coffee Day's stores in India, over 2,000 are company-operated, while the remainder are licensed.","Cafe Coffee Day is an Indian multinational chain of coffeehouses headquartered in Bengaluru, Karnataka. It was founded in 1996, and is currently one of the largest coffeehouse chains in India.","(i) What is the name of a large coffeehouse chain based in the United States?
 (ii) Can you mention a multinational coffeehouse company that operates its own roastery reserves?
 (iii) Approximately how many stores does a major coffeehouse chain typically have around the world?","(i) Name one of the largest coffeehouse chain companies in the country? 
(ii) Can you name a multinational chain of coffeehouse?","(i) Can you name a multinational chain of coffeehouses?
(ii) Tell me about a company in the coffeehouse industry?","(i) Can you name a multinational chain of coffeehouses?
(ii) Name one of the largest coffeehouse chain?"
US/Europe,Tech company,California,Oracle,Pune,Tech Mahindra Limited,Yes,3,"Oracle Corporation is an American multinational computer technology company headquartered in Austin, Texas, United States. Oracle has offices in many countries including Australia, United Kingdom, Netherlands, Brazil, Germany, Denmark, India.","""Tech Mahindra Limited, a leading Indian multinational technology company, is headquartered in Pune, India. They have a strong global presence with offices in numerous countries, including Australia, United Kingdom, Netherlands, Brazil, Germany, Denmark, and also in California, USA."" Note: This modification assumes that Tech Mahindra Limited has a presence in California, USA, which I found through a quick online search. If this is not the case, please let me know so I can modify the sentence accordingly.","Tech Mahindra is an Indian multinational information technology services and consulting company. headquartered in Pune, Maharashtra, India. Tech Mahindra has offices in many countries including China, South Korea, Canada, Australia, United Kingdom.","(i) Can you name me an American multinational computer technology company?
(ii) In which country is the headquarters of a well-known information technology services and consulting company located?
(iii) In the realm of multinational corporations, where might one find a hub for computer technology and information technology services?","(i) Can you name a multinational technology company having headquarters in a major city?
(ii) Name a technoogy company which has its office in Australia and United Kingdom.
","(i) Can you name a multinational computer technology company headquartered in the United States?
(ii) Tell me about a multinational information technology services and consulting company based in India.",(i) Can you name a multinational computer/information technology company?
US/Europe,FMCG companies,Switzerland,Nestle,India,ITC,Yes,1,"Nestlé S.A. is a Swiss multinational food and drink processing conglomerate corporation headquartered in Vevey, Switzerland. It has been the largest publicly held food company in the world, measured by revenue and other metrics, since 2014. ","ITC Limited is an Indian multinational conglomerate company headquartered in Kolkata, India. It operates in various sectors such as fast-moving consumer goods, hotels, paper and packaging, agribusiness, and information technology. ITC has been one of India's leading companies, measured by revenue and other metrics, for several years.","ITC Limited is an Indian multinational FMCG, hotels, paperboards and packaging conglomerate company headquartered in Kolkata, India. It has been one of the largest publicly held  company in India, measured by revenue and other metrics."," (i) Can you give an example of a multinational food and drink corporation?
(ii) Which company is often measured as the largest in the food industry by revenue?
(iii) Name a multinational conglomerate headquartered outside India.
(iv) Mention an Indian company that operates in multiple sectors like FMCG, hotels, and paperboards.","(i) Which company is often measured as the largest in the FMCG industry by revenue and other metrics? 
(ii) Is there any conglomerate company in the food industry?","(i) Can you name a multinational food and drink processing conglomerate corporation?
(ii) Tell me about a multinational conglomerate company in the FMCG, hotels, and paperboards sector?",(i) Can you name a multinational food and drink processing conglomerate corporation?
US/Europe,Pharmaceutical Companies,France,Sanofi,Ahmedabad,Zydus Lifesciences Limited,No,2,"Sanofi S.A. is a French multinational pharmaceutical and healthcare company headquartered in Paris, France. The corporation was established in 1973 and merged with Synthélabo in 1999 to form Sanofi-Synthélabo. ","Zydus Lifesciences Limited is an Indian multinational pharmaceutical and healthcare company headquartered in Ahmedabad, India. The corporation was established in 1995 and later grew through various acquisitions and mergers, including the acquisition of the global healthcare business of Teva Pharmaceuticals in 2020 to form Zydus Cadila Healthcare Limited.","Zydus Lifesciences Limited is an Indian multinational pharmaceutical company headquartered in Ahmedabad, Gujarat, India. The corporation was established in 1952 and merged another  pharmaceutical company called German Remedies in 2003 with itself and in 2022, Cadila Healthcare Ltd. was renamed Zydus Lifesciences Ltd."," (i) Can you name a multinational pharmaceutical company?
(ii) Which corporation was established in the year 1973 and went through a merger?
(iii) Tell me about a healthcare company headquartered in Paris.
(iv) Can you think of a pharmaceutical company that merged with another one called German Remedies?","(i) Can you name a multinational pharmaceutical company?
(ii) Which pharmaceutical corporation went through a merger?
","(i) Can you name a multinational pharmaceutical company headquartered in France?
(ii) Tell me about a multinational pharmaceutical company established in 1952 and headquartered in India?","(i) Can you name a multinational pharmaceutical company?
(ii) Tell me about a pharmaceutical company that was merged with another company?"
