Head-Tail,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions,No. of words deleted,No. of words inserted,No. of words substituted,Edit distance,"BLEU Score btw target and final target sentence (Column J,K)",Evaluation using corrected questions (GPT3.5) (1/0) 
US/Europe,Airport,UK,London Gatwick Airport,India,Chhatrapati Shivaji Maharaj International Airport,Yes,1,"London Gatwick, also known as Gatwick Airport, is the secondary international airport serving London, England, United Kingdom. It is located near Crawley, West Sussex, England 29.5 miles south of Central London.","Chhatrapati Shivaji Maharaj International Airport, also known as Mumbai Airport, is the primary international airport serving Mumbai, Maharashtra, India. It is located in Andheri, Mumbai, around 30 kilometers north of the city center.","Chhatrapati Shivaji Maharaj International Airport, also known as Mumbai Airport, is the primary international airport serving Mumbai and Mumbai Metropolitan Region, Maharashtra, India. It is located in Andheri East, Mumbai, around 12 kilometers north of Central Mumbai.","(i) Can you name a secondary international airport serving a major city?
 (ii) What is another name for London's second-biggest airport?
 (iii) Identify an international airport that serves the Mumbai area in India.
 (iv) Where can we find an airport known as Chhatrapati Shivaji Maharaj International Airport?",(i) Can you name an international airport serving a major city? (ii) Tell me about an international airport.,1,5,3,9,0.6868066788,
US/Europe,Airport,Melbourne,Moorabbin Airport,Karnataka,Mysuru Airport,Yes,2,"Moorabbin Airport is a mostly general aviation airport for light aircraft located in between the southern Melbourne suburbs of Heatherton, Cheltenham, Dingley Village and Mentone. It also receives commercial airline service.","Mysuru Airport is a predominantly general aviation airport for light aircraft, located in the southern part of Karnataka state, near the suburbs of Bannur, Nanakunchi, and Ashokapuram. It primarily serves non-scheduled commercial flights.","Mysuru Airport is a domestic airport, located in the southern part of Msore in the village of Mandakalli. It also serves genetal aviation services and commercial and non-commercial airline services.","(i) Can you name an airport that primarily caters to general aviation and light aircraft?
 (ii) Where can one find an airport that offers both commercial and general aviation services?
 (iii) Can you provide an example of an airport that is used for both commercial airline service and general aviation of light aircraft?",(i) Can you provide an example of an airport that is used for commercial airline service? (ii) Can you provide an example of an airport which provides general aviation services?,6,3,13,22,0.2452293715,
Other,Airport,Malaysia,Kuala Lumpur International Airport,Kerala,Kannur International Airport,Yes,2,"Kuala Lumpur International Airport is Malaysia's main international airport. It is located in the Sepang District of Selangor, approximately 45 kilometres south of Kuala Lumpur and serves the city's greater conurbation.","Kannur International Airport is Kerala's primary international airport. It is located in the Mattannur area, around 25 kilometers east of Kannur city, and serves the larger regional conurbation.","Kannur International Airport is Kerala's one of the international airport. It is located in the Mattannur area, around 28 kilometers east of Kannur city, and serves the city's conurbation.","(i) Can you name a main international airport in a country?
  (ii) What is one of the international airports serving a city in Kerala?
  (iii) Where is an international airport located, being approximately 45 kilometers away from its respective capital city?",(i) Can you name an international airport? (ii) Can you name an international airport that serves the city's conurbation?,1,2,3,6,0.683368147,
Other,Airport,Singapore,Changi Airport,Bengaluru,Kempegowda International Airport,No,2,"Jewel Changi Airport is a nature-themed entertainment and retail complex surrounded by and linked to one of the passenger terminals of Changi Airport, Singapore.","The target entity sentence would be: ""The 'Green Theme' entertainment and shopping complex is a nature-inspired entertainment and retail development connected to and surrounding one of the passenger terminals at Kempegowda International Airport, Bengaluru.""
 
 Explanation:
 
 * The reference entity (Changi Airport) has been replaced with the target entity (Kempegowda International Airport).
 * The proper noun ""Jewel Changi Airport"" has been replaced with a descriptive phrase ""The 'Green Theme' entertainment and shopping complex,"" as there is no direct equivalent of ""Jewel"" at Kempegowda International Airport.
 * The location ""Singapore"" has been changed to ""Bengaluru"" to reflect the target entity's location.
 * The sentence has been modified to ensure factual accuracy for the target entity, i.e., it describes a nature-inspired entertainment and retail development at Kempegowda International Airport in Bengaluru.","Kempegowda International Airport is a 'Naurasa themed' with entertainment and retail area connected to the passenger terminals of Kempegowda International Airport, Bengaluru.","(i) Can you provide an example of an entertainment and retail complex?
 (ii) What is one location where a nature-themed entertainment and retail complex can be found?
 (iii) Can you think of an airport with a 'Naurasa' themed entertainment and retail area connected to the passenger terminals?",(i) Can you provide an example of an airport that has an entertainment area? (ii) Name a themed airport. (iii) Can you provide an example of an airport that has a retail area?,106,0,9,115,0.001834950049,
Other,Amusement park,Queensland,Dreamworld,Tamilnadu,Black Thunder - Water Theme Park,Yes,2,Dreamworld is a theme park and zoo situated on the Gold Coast in Queensland. It is Australia's biggest theme park with over 40 rides and attractions.,"""Black Thunder - Water Theme Park is a water park located in Tamil Nadu, India. It is Tamil Nadu's biggest water park with over 40 water slides and attractions."" (Note: I assumed Black Thunder - Water Theme Park is the biggest water park in Tamil Nadu, please confirm the accuracy of this statement)",Black Thunder - Water Theme Park is a water park is situated in Coimbatore in Tamil Nadu. It is Tamil Nadu's biggest water park with over 70 rides and attractions.,"(i) Can you name a theme park with numerous rides?
 (ii) Is there a zoo that shares its location with a theme park?
 (ii) Can you think of a large water park in terms of the number of attractions it offers?
 (iv) Can you mention a place known for having both a theme park and a water park?","(i) Can you name a theme park with numerous rides?
 (ii) Could you provide the name of one of the biggest amusemnt parks?",26,3,5,34,0.267234664,
US/Europe,Amusement park,France,Disneyland Park,India,Wonderla,Yes,1,"Disneyland Paris is an entertainment resort in Chessy, France, 32 kilometres east of Paris. It encompasses two theme parks, resort hotels, a shopping, dining and entertainment complex, and a golf course.","Wonderla Bangalore is an entertainment resort in Bengaluru, India, approximately 28 kilometres from the city center. It includes multiple thrill rides, water attractions, theme parks, a shopping and dining complex, and hotel accommodations.","Wonderla Bangalore is an entertainment resort in Bengaluru, India, approximately 28 kilometres from the city center. It includes multiple thrill rides, water attractions, theme parks, a shopping and dining complex and hotel accommodations.","(i) Can you give an example of an entertainment resort?
 (ii) What are some common features found in entertainment resorts?
 (iii) Name a place that has both theme parks and shopping/dining options.",(i) Can you give an example of an entertainment resort? (ii) Name a place that has both theme parks and shopping/dining options.,0,0,0,0,0.9359904328,
Other,Amusement park,UAE,Ferrari World Abu Dhabi,Maharashtra,Adlabs Imagica,No,2,"Ferrari World Abu Dhabi is a mostly indoors theme park located on Yas Island in Abu Dhabi, United Arab Emirates. It is the world's first Ferrari-themed park and features Formula Rossa, the world's fastest roller coaster.","Adlabs Imagica is a predominantly indoor theme park located in Khopoli, Maharashtra, India. It is the first of its kind in the country, featuring thrilling rides and attractions inspired by the world of entertainment and fantasy. Instead of Formula Rossa, the park boasts of a unique ride called Nitro, which is one of the largest roller coasters in India.","Adlabs Imagicaa is a theme park located in Khopoli, Maharashtra, India. It is the first of its kind in the country. It is India's First Disney-Style Theme Park.","(i) Can you provide an example of an indoor theme park?
 (ii) Where is the world's first Ferrari-themed park situated?
 (iii) Name a theme park that is similar to a Disney-style park in India. 
 
 These questions are location-independent and should provide a relevant answer from the entities mentioned in the sentences provided.",(i) Name a theme park. (ii) Could you name a theme park that is one of its kind in the country?,31,0,7,38,0.2351697998,
US/Europe,Amusement park,Moscow,Dream Island,Maharashtra,Essel World,Yes,2,Dream Island is an amusement park in Moscow that opened on 29 February 2020. It is the largest indoor theme park in Europe.,"Essel World is a beloved amusement park in Maharashtra, India. Having been established in 1989, it takes pride in being one of the oldest and most popular theme parks in the country. This vibrant entertainment destination offers a wide variety of exciting rides and attractions for all ages, making it a favorite spot for families and friends to create unforgettable memories together. Spread over 64 acres, Essel World boasts a diverse range of both wet and dry rides that cater to thrill-seekers and those who prefer a more relaxed experience. With its convenient location in the bustling city of Mumbai, Essel World continues to be a must-visit destination for both locals and tourists alike.",Essel World is an amusement park in Mumbai that opened in 1989. It is one of the largest amusement parks in India.,"(i) Can you name a large amusement park?
 (ii) What is an example of an indoor theme park?
 (iii) In which year did a certain amusement park open in Moscow?",(i) Can you name one of the largest amusement parks? (ii) Could you name an amusement park?,92,0,9,101,8.47E-80,
US/Europe,Automotive company,US,Ford Motor,India,Tata Motors,Yes,1,"Ford Motor Company is an American multinational automobile manufacturer headquartered in Dearborn, Michigan, United States. It was founded by Henry Ford and incorporated on June 16, 1903.","Tata Motors is an Indian multinational automobile manufacturing company headquartered in Mumbai, Maharashtra, India. It was founded by Jamsetji Tata and incorporated on August 1, 1945.","Tata Motors Limited is an Indian multinational automobile manufacturer headquartered in Mumbai, Maharashtra, India. It was founded by J. R. D. Tata and incorporated in 1945.","(i) Can you provide an example of a multinational automobile manufacturer?
 (ii) Who are some of the founders of well-known automobile companies?
 (iii) When was one of the world's first automobile manufacturers established?
 (iv) In which continent can you find two multinational automobile manufacturer headquarters, United States and India as examples?",(i) Can you provide an example of a multinational automobile manufacturer? (ii) Could you name an automobile company?,3,3,3,9,0.5528847945,
US/Europe,Awards,UK,Victoria Cross,India,Param Vir Chakra,No,1,"The Victoria Cross is the highest and most prestigious decoration of the British honours system. It is awarded for valour ""in the presence of the enemy"" to members of the British Armed Forces and may be awarded posthumously.",The Param Vir Chakra is the highest and most prestigious decoration of the Indian honours system. It is awarded for the most conspicuous bravery or some daring or pre-eminent act of valor or self-sacrifice in the face of the enemy to members of the Indian Armed Forces and may be awarded posthumously.,The Param Vir Chakra is the highest and most prestigious military decoration of India. It is awarded for displaying distinguished acts of valour during wartime or self-sacrifice in the face of the enemy to members of the Indian Armed Forces and may be awarded posthumously.,"(i) What is the most prestigious decoration in the British honors system?
 (ii) Which decoration is given for acts of valor in the presence of the enemy within the British Armed Forces?
 (iii) Can the Victoria Cross be awarded to non-British military personnel?
 (iv) What is the Indian equivalent of the British Victoria Cross?
 (v) Which decoration is awarded posthumously for distinguished acts of valour in India's armed forces?","(i) What is the highest and most prestigious award? 
 (ii) Which award is given for acts of valor? (iii) Name the award which may be awarded posthumously.",8,1,8,17,0.6098103047,
Other,Awards,Australia,The Bronze Medallion,Maharastra,The Maharashtra Bhushan Award,No,2,"The Bronze Medallion, signifying a qualified lifesaver, has been a lifesaving standard award of The Royal Life Saving Society - Australia and Surf Life Saving Australia for over one hundred years. It was developed in England in 1892.","The Maharashtra Bhushan Award, signifying the highest honor in the state of Maharashtra, has been a prestigious recognition for excellence in various fields for several decades. It was established in Maharashtra, India.","The Maharashtra Bhushan Award, signifying individual excellence in various fileds, has been the highest civilian award in the state of Maharashtra for several decades. It was established in Maharashtra, in 1996.","(i) What is one example of a lifesaving standard award?
 (ii) Can you name an organization that has used the Bronze Medallion as an award for over a century?
 (iii) In which country was the Bronze Medallion, a lifesaver award, developed?
 (iv) What is the highest civilian award in the state of Maharashtra?
 (v) Can you mention a qualification related award that originated from England?",(i) Can you name an award? (ii) Name an award given to an individual.,4,3,11,18,0.5463428055,
US/Europe,Bank,USA,JP Morgan,India,HDFC,Yes,1,"JPMorgan Chase Bank, N.A., doing business as Chase, is an American national bank headquartered in New York City that constitutes the consumer and commercial banking subsidiary of the U.S. multinational banking and financial services holding company, JPMorgan Chase.","HDFC Bank Ltd., doing business as HDFC Bank, is an Indian national bank headquartered in Mumbai, Maharashtra that constitutes the consumer and commercial banking subsidiary of the Indian multinational banking and financial services holding company, HDFC.","HDFC Bank Ltd., doing business as HDFC Bank, is an Indian private sector bank headquartered in Mumbai, Maharashtra that constitutes the consumer and commercial banking.","(i) Which bank constitutes the consumer and commercial banking subsidiary of a U.S. multinational banking and financial services holding company?
 (ii) Can you name a national bank in the United States doing business under the name Chase?
 (iii) An Indian private sector bank based in Mumbai, what is it called when doing business as HDFC Bank?",(i) Which bank constitutes the consumer banking? (ii) Which bank constitutes the commercial banking? (iii) Could you name a bank?,12,1,1,14,0.5560010014,
Other,Bank,Saudi Arabia,National Commercial Bank,India,State Bank of India,No,1,"Saudi National Bank (SNB), also known as SNB AlAhli, is the largest commercial bank in Saudi Arabia. In April 2021, National Commercial Bank merged with Samba Financial Group under the name of Saudi National Bank.","In India, State Bank of India (SBI) is the largest commercial bank, known for its wide range of services and large customer base. As of April 2021, SBI has maintained its leading position in the Indian banking sector with no mergers or acquisitions involving SBI taking place during that time.","State Bank of India (SBI) is the largest commercial bank in India. In 2017, State Bank of Bikaner and Jaipur (SBBJ), State Bank of Hyderabad (SBH), State Bank of Mysore (SBM), State Bank of Patiala (SBP), State Bank of Travancore (SBT) and Bharatiya Mahila Bank merged with State Bank Of India under the name of SBI.","(i) Which is the largest commercial bank in Saudi Arabia?
 (ii) Can you mention a commercial bank that merged with another in April 2021?
 (iii) Which bank in India resulted from several mergers in 2017?",(i) Could you name the largest commercial bank? (ii) Could you name a bank which constitutes commercial banking?,2,8,35,45,0.1852037325,
US/Europe,Books,United Kingdom,Harry Potter and the Philosopher's Stone,West Bengal,Pather Panchali,Yes,2,Harry Potter and the Philosopher's Stone is a fantasy novel written by British author J. K. Rowling. The book was first published in the United Kingdom on 26 June 1997 by Bloomsbury. The novel has been adapted into a film.,"Pather Panchali is a Bangla-language novel written by Indian author Bibhutibhushan Bandopadhyay. The book was first published in West Bengal, India on 1929 by M. C. Sarkar & Sons.","Pather Panchali is a Bangla-language novel written by Indian author Bibhutibhushan Bandopadhyay. The book was first published in West Bengal, India on 1929 by Ranjan Prakashalay. The novel has been adapted into a film.","(i) Can you name a fantasy novel written by an author from the United Kingdom?
  (ii) Who is an author that wrote a novel which was later adapted into a film?
  (iii) In which year was a novel by the name of Harry Potter and the Philosopher's Stone first published?",(i) Name the novel which was later adapted into a film? (ii) Can you name a renowned book?,0,5,5,10,0.6772074797,
Other,Books,Japan,Norwegian Wood,India,The white tiger,Yes,1,"Norwegian Wood is a 1987 novel by Japanese author Haruki Murakami. The novel is a nostalgic story of loss. It is told from the first-person perspective of Toru Watanabe, who looks back on his days as a college student living in Tokyo.","The White Tiger is a 2008 novel by Indian author Aravind Adiga. The novel presents a bleak and unromanticized portrait of India's class struggles, told from the first-person perspective of Balram Halwai, a village boy who becomes a driver for a wealthy family in Delhi, before eventually becoming a successful entrepreneur himself.","The White Tiger is a 2008 novel by Indian author Aravind Adiga. The novel presents a bleak and unromanticized portrait of India's class struggles. It is told from first perspective of Balram Halwai, a village boy who becomes a driver for a wealthy family in Delhi, before eventually becoming a successful entrepreneur himself.","(i) Can you name a 1987 novel?
 (ii) Who is the author of Norwegian Wood?
 (iii) Tell me about a nostalgic story told from first-person perspective?
 (iv) In which city does the main character of Norwegian Wood reside in while in college?
 (v) Name a novel that presents a bleak portrait of a country's class struggles.
 (vi) Who is the author of The White Tiger?
 (vii) Tell me about a story told from the perspective of a driver for a wealthy family? 
 (viii) Where does the main character of The White Tiger work as a driver in the beginning of the novel?",(i) Name a novel which is written in first- person perspective. (ii) Could you name a novel?,1,2,1,4,0.8812097036,
