Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions
US/Europe,Actor/Actress,US,Angelina Jolie,Kerala,Manju Warrier,Yes,2,"Angelina Jolie is an American actress, filmmaker and humanitarian. The recipient of numerous accolades, including an Academy Award and three Golden Globe Awards, she has been named Hollywood's highest-paid actress multiple times.","Manju Warrier is a renowned Indian actress, predominantly working in the Malayalam film industry, based in Kerala. She has won numerous accolades for her acting skills, including four Kerala State Film Awards and a National Film Award. Often hailed as one of the finest actresses in the Malayalam cinema, Manju Warrier is a cultural icon in Kerala.","Manju Warrier is an Indian actress, She has won numerous accolades, including Kerala State Film Awards and won a special mention from the jury for the National Film Awards. She is hailed as one of the finest actresses in the Malayalam cinema. She is hailed as one of the finest and highest-paid actresses in the Malayalam cinema.","(i) Can you name an American actress who has received an Academy Award?
 (ii) Tell me about an individual who has been recognized as a high-earning actress.
 (iii) Who is an internationally acclaimed actress from India?","(i) Can you name an actress who has received many Awards?
(ii) Tell me about an individual who has been recognized as a high-earning actress."
US/Europe,Actor/Actress,US,Dwayne Johnson,Kerala,Mohanlal,Yes,2,"Dwayne Douglas Johnson, also known by his ring name the Rock, is an American actor and professional wrestler currently signed to WWE.","Mohanlal, also known by his stage name ""Lalettan,"" is a renowned Indian actor and producer, predominantly working in the Malayalam film industry, based in Kerala.","Mohanlal, also known by his pet name ""Lalettan"", is an Indian actor and producer, currently working in the Malayalam film industry.","(i) Can you give an example of a person who is both an actor and a wrestler?
 (ii) Who is an American actor with a ring name?
 (iii) Name an individual who is well-known in the entertainment industry, having a unique nickname. |","(i) Can you give an example of an actor who professionally holds another title as well?
(ii) Can you provide the name of an actor who is well-known in the entertainment industry by another name?"
US/Europe,Actor/Actress,US,Robert Downey Jr,West Bengal,Prosenjit Chatterjee,Yes,2,"Robert John Downey Jr. is an American actor. His career has been characterized by critical success in his youth, followed by a period of substance abuse and legal troubles, and a surge in popular and commercial success later in his career.","Prosenjit Chatterjee is a renowned actor from West Bengal, India. His career has been marked by critical acclaim in his early years, followed by a period of personal challenges, and a resurgence in popularity and commercial success in later years.",Prosenjit Chatterjee is an Indian actor and producer. His career has been characterized by critical success in commercial films. He debuted in Parallel Cinema and since then have appeared in numerous art films and has achieved commercial success in his career.,"(i) Can you name an American actor known for his successful career in movies?
 (ii) Who is a well-known Indian actor and film producer?
 (iii) Can you give an example of an actor who experienced ups and downs in his career but still made it big?","(i) Can you name an actor whose career has been characterized by critical success?
(ii) Can you name an actor who has achieved commercial success in their career?"
Other,Actor/Actress,Kenya,Lupita Nyong'o,India,Priyanka Chopra,Yes,1,"Lupita Amondi Nyong'o is a Mexican-Kenyan actress. She is the recipient of several accolades, including an Academy Award and a Daytime Emmy Award with nominations for a Tony Award and a Golden Globe Award.","Priyanka Chopra is an Indian actress. She is the recipient of several accolades, including a National Film Award, five Filmfare Awards, and the Padma Shri, India's fourth-highest civilian honor. Additionally, she has been nominated for a People's Choice Award and a Screen Actors Guild Award.","Priyanka Chopra is an Indian actress and producer. She is the recipient of several accolades, including National Film Award, five Filmfare Awards and the Padma Shri Award.","(i) Can you name a Mexican-Kenyan actress who has won an Academy Award?
 (ii) Who is an Indian actress that has received a National Film Award as well as Filmfare Awards?
 (iii) Can you mention two international actresses recognized with prestigious awards?","(i) Can you name an actress who is the recipient of several accolades?
"
Other,Actor/Actress,Japan,Hidetoshi Nishijima,India,Amitabh Bachchan,Yes,1,"Hidetoshi Nishijima is a Japanese actor model. He is widely regarded as one of Japan's leading actors, having appeared in a wide range of films from science fiction films such as Shin Ultraman to small-scale art films such as Dolls.","Amitabh Bachchan is an Indian actor and producer. He is widely regarded as one of India's leading actors, having appeared in a wide range of films from science fiction films such as ""Endhiran"" to small-scale art films such as ""Paa.""","Amitabh Bachchan is an Indian actor. He is widely regarded as one of India's leading actors, having appeared in a wide range of films from science fiction unreleased films such as ""Kalki 2898 AD"" to small-scale art films such as ""Paa.""","(i) Can you name a widely recognized actor from Japan?
 (ii) What type of films has the Japanese actor Hidetoshi Nishijima appeared in?
 (iii) Who are some of the leading actors in India and what kind of movies have they appeared in?","(i) Can you name an actor who is widely regarded as one of the country's leading actors?
(ii) Name an actor who has appeared in a wide range of films."
Other,Actor/Actress,Brazil,Rodrigo Santoro,Karnataka,Sudeep,Yes,2,Rodrigo Junqueira Reis Santoro is a Brazilian actor. He is perhaps best known for his portrayal of Persian King Xerxes in the film 300 and its sequel 300: Rise of an Empire.,"Sudeep Sanjeev, also known as Sudeep, is an actor from Karnataka, India. He is best known for his work in Kannada cinema and has also appeared in a number of Hindi-language films. Some of his most notable roles include playing the antagonist in the Bollywood film ""Dabangg"" and starring in the successful Kannada film ""Kiccha Sudeepa.""",Sudeep is an Indian actor. He is perhaps best known for his portrayal of an antagonist in the film Eega and Dabangg 3.,"(i) Can you name a well-known actor from Brazil?
 (ii) Who is an actor recognized for playing a role in the film 300 and its sequel?
 (iii) Can you mention an Indian actor famous for his performance in the movie Eega?
 (iv) Who is an actor known for playing different types of roles in films like Eega and Dabangg 3?","(i) Can you name an actor who is best known for the roles portrayed by him?
"
Other,Actor/Actress,Malaysia,Syamsul Yusof,Tamil Nadu,Karthick Naren,Yes,2,"Mohd Syamsul Mohd Yusof is a Malaysian actor, film director, writer, producer and singer. He is the son of producer and director Yusof Haslam.","Karthick Naren is a filmmaker from Tamil Nadu, known for his work as a director and writer in the Indian film industry. He is not related to any existing prominent figures in the industry, including veteran producer and director Haslam Yusuf.","Karthick Naren is an Indian film director, film producer, screenwriter, actor and YouTuber. He is the son of MNG Mani and Saradha Mani.","(i) Can you name a Malaysian individual who works in film?
 (ii) Who is a family member following in their parent's footsteps in the film industry?","(i) Give me a name of an actor who is also a film director?
(ii) Give me a name of an actor who is also a producer?"
Other,Actor/Actress,South Korea,Park Shin Hye,West Bengal,Koel Mallick,Yes,2,Park Shin-hye is a South Korean actress and singer. She gained recognition as a child actress on TV shows such as Stairway to Heaven and Tree of Heaven.,"Koel Mallick is a West Bengal-based actress and singer. She gained recognition as a child artist in Bangla cinema, appearing in popular films such as 'Stairway to Heaven' (Bengali adaptation) and 'Tree of Heaven' (Bangla version).",Koel Mallick is a West Bengal-based Indian actress. She gained recognition as an actress in Bangla films such as Nater Guru and Bandhan,"(i) Can you name a South Korean actress and singer?
 (ii) Who is an example of a child actor that later found success in television dramas?
 (iii) Can you think of an Indian actress known for her work in Bangla films?",(i) Can you provide example of an actress who has gained recognition from their work?
US/Europe,Actor/Actress,Philadelphia,Will Smith,Mumbai,Vishwanath Patekar,Yes,3,"Willard Carroll Smith II is an American actor, rapper and film producer. He has received multiple accolades, including an Academy Award, a Golden Globe Award, a Screen Actors Guild Award, a BAFTA Award, and four Grammy Awards.","Veteran Indian actor, singer, and producer, Vishwanath Patekar was born in Mumbai, India. Throughout his illustrious career, he has received several accolades, including the prestigious National Film Award, Padma Shri award, and multiple Filmfare Awards.","Vishwanath Patekar is an Indian actor, screenwriter and film maker. He has received multiple accolades, including the three National Film Award, Star Screen Awards, Zee Cine Awards, Bengal Film Journalists Association Awards, four Filmfare Awards and two Filmfare Awards Marathi.","(i) Can you name an American actor, rapper, and film producer who has received multiple accolades?
 (ii) Who is an Indian actor, screenwriter, and filmmaker with multiple awards to his name?","(i) Can you name an actor who has won many accolades? 
(ii) Can you name an actor who has worked in other fields in the film industry as well?"
US/Europe,Actor/Actress,France,Ludivine Sagnier,Kolkata,Rituparna Sengupta,Yes,3,"Ludivine Sagnier is a French actress. She was nominated three times for the César Award for Best Supporting Actress for Swimming Pool, Peter Pan, and A Secret.","Rituparna Sengupta is a renowned actress from Kolkata, India. She has been nominated three times for the prestigious Filmfare Awards East in the Best Actress category for her remarkable performances in the films ""Dahan,"" ""Titli,"" and ""Raincoat of the Morning.""",Rituparna Sengupta is an Indian actress. She has been nominated for National Film Award for Best Actress for Dahan.,"(i) Can you name a French actress who has been nominated for the CÃ©sar Award for Best Supporting Actress?
 (ii) Who is an Indian actress that has been recognized with a National Film Award nomination for Best Actress?",(i) Can you provide with an example of an actress nominated for a prestigious award?
US/Europe,Actor/Actress,Memphis,Morgan Freeman,Thanjavur,Ajith Kumar,Yes,3,"Morgan Freeman is an American actor, producer, and narrator known for his distinctive, deep voice. Throughout a career spanning five decades and multiple film genres, he has received numerous accolades, including an Academy Award, a Golden Globe Award, and a Screen Actors Guild Award as well as a nomination for a Tony Award.","Target Entity: Ajith Kumar
 Target Entity Location: Thanjavur, India
 
 Adjusted sentence: Ajith Kumar is a renowned Indian actor who has worked in the Tamil film industry for over two and a half decades. He is celebrated for his powerful performances across various film genres. Throughout his career, he has earned several accolades, including four Filmfare Awards South, three Vijay Awards, and a Nandi Award. Thanjavur-born Ajith Kumar has also contributed to motorsports and philanthropy alongside his acting profession.","Ajith Kumar is an Indian race car driver and actor known for his versatile acting skills. Throughout a career spanning three decades and multiple film genres, he has received numerous accolades, including Filmfare Awards South, Cinema Express Awards, Dinakaran Cinema Awards, Kalaimamani Award, Tamil Nadu State Film Awards, Zee Cine award- Tamil and Vijay Awards as well as nominations for South Indian International Movie Awards","(i) Can you name an American actor who has won an Academy Award?
 (ii) Who is a well-known narrator apart from being an actor?
 (iii) Can you think of a person who has been active in film for over five decades? | (i) Can you name an Indian actor who has received Filmfare Awards?
 (ii) Who is a prominent figure known for both racing cars and acting?
 (iii) Can you think of a person who has been active in film for over three decades?","(i) Name an actor who has worked for more than two decades.
(ii) What is an example of an actor who has worked in multiple film genres? 
(iii) Mention an actor who has received numerous accolades."
Other,Actor/Actress,Japan,Kinuyo Tanaka,Kolkata,Aparna Sen,Yes,3,"Kinuyo Tanaka was a Japanese actress and film director. She had a career lasting over 50 years with more than 250 acting credits, but was best known for her 15 films with director Kenji Mizoguchi, such as The Life of Oharu and Ugetsu. ","Aparna Sen is a renowned actress and film director from Kolkata, India. She has had a distinguished career spanning over four decades, during which she has amassed more than 50 acting credits and directed several critically acclaimed films. Sen is best known for her collaborations with acclaimed filmmaker Mrinal Sen, including notable films like ""36 Chowringhee Lane"" and ""Paromitar Ek Din.""","Aparna Sen is a Bengali actress and director. She has had a career lasting over 60 years, with more than 80 acting credits, but was best known for her 6 movies with filmmaker Mrinal Sen, such as ""Akash Kusum"" and ""Bhuvan Shome."""," (i) Can you name a female actress who also directed films?
(ii) Who is an actress known for her collaborations with a single director?
(iii) Can you think of a female director with a long-term professional partnership?","(i) Can you name a female actress who also directed films?
(ii) Which female actress and director has a long lasting career with multiple acting credit?
(iii) Can you think of a female director with a long-term professional partnership?"
US/Europe,Actor/Actress,North Carolina,Clay Aiken,West Bengal,Deepak Adhikari,Yes,2,"Clayton Holmes Aiken is an American singer, television personality, actor, politician, and activist. Aiken finished second place on the second season of American Idol in 2003, and his debut album, Measure of a Man, went multi-platinum. ","Deepak Adhikari, also known as Deb, is a renowned Indian actor, producer, and politician from West Bengal. He started his career in the Bengali film industry and has since established himself as a prominent figure in both film and politics. Adhikari's work in the film industry includes many successful movies, and his political career has led him to become a member of the West Bengal Legislative Assembly.","Deepak Adhikari is an Indian actor, producer, singer, politician and screenwriter."," (1) What is an example of a person who is a singer, television personality, actor, politician, and activist?
(2) Can you name a person who was a runner-up on American Idol and later released a multi-platinum album?","(i) Can you name an actor who is also a politician?
(ii) Name an actor who is also a singer. "
US/Europe,Actor/Actress,France,Emma Watson,Bangalore,Deepika Padukone,Yes,3,"Emma Charlotte Duerre Watson is an English actress. Known for her roles in both blockbusters and independent films, she has received a selection of accolades, including a Young Artist Award and three MTV Movie Awards. ","Deepika Padukone, the renowned actress hailing from Bangalore, India, has made her mark in both mainstream and art-house cinema. She has garnered several accolades for her work, including a Filmfare Award and two International Indian Film Academy Awards.","Deepika Padukone is an Indian actress. Known for her roles in blockbusters, she has received a selection of accolades, including three Filmfare Awards and seven Zee Cine Awards."," (i) Can you name an English actress known for her roles in both blockbusters and independent films?
(ii) Who is a well-known actress who has received several accolades for her film roles?
(iii) Can you recall an actress, regardless of nationality, who has won multiple Filmfare Awards?","(i) Name a well-known actress who has received several accolades for her film roles?
(ii) Which famous actress is known for her roles in blockbusters?"
US/Europe,Actor/Actress,US,Tom Cruise,Hyderabad,Mahesh Babu,No,3,"Thomas Cruise Mapother IV is an American actor and producer. Regarded as a Hollywood icon, he has received various accolades, including an Honorary Palme d'Or and three Golden Globe Awards, in addition to nominations for four Academy Awards. ","Mahesh Babu Ghattamaneni is a renowned Telugu film actor and producer, hailing from Hyderabad, India. He is considered a superstar in the Telugu film industry, having received several accolades, including five Filmfare Awards South and four Nandi Awards. His contributions to the film industry have been significant, and he continues to be a prominent figure in South Indian cinema.","Ghattamaneni Mahesh Babu is an Indian actor and producer. Regarded as a Tollywood icon, he has received various accolades, including five Filmfare Telugu Awards and four SIIMA Awards."," (i) Can you name an American actor and producer who has won multiple awards?
(ii) Who is considered a Hollywood icon in the acting industry?
(iii) Tell me about an individual who has been recognized with an Honorary Palme d'Or award for their acting career.
(iv) Can you think of an Indian actor and producer who has received several accolades for their work?
(v) Who is a prominent figure in Tollywood, often regarded as an icon?","(i) Mention a well known actor and producer who is an icon in his region?
(ii) Name an actor and producer who has won many accolades."
Other,Actor/Actress,London,Emma Thompson,India,Kalki Koechlin,Yes,1,"Dame Emma Thompson DBE is an English actress and writer. She has received numerous accolades throughout her career spanning more than four decades, including two Academy Awards, three BAFTA Awards, two Golden Globe Awards and a Primetime Emmy Award. ","Acclaimed Indian actress and writer, Kalki Koechlin, has received numerous accolades throughout her career spanning over a decade, including a National Film Award, a Filmfare Award, and two Screen Awards.

Note: The above conversion is based on the given reference entity and location and assumes that Kalki Koechlin's career has been primarily based in India. The awards listed are some of the most prestigious awards in Indian cinema.","Kalki Koechlin is an Indian actress and writer. She has received numerous accolades throughout her career, including a National Film Award, a Filmfare Award, and two Screen Awards."," (i) Can you name an English actress and writer who has won multiple awards?
(ii) Who is an Indian actress and writer recognized for her work in film?","(i) Can you name an actress who is also a writer?
(ii) Name an actress and writer who has won numerous accolades throughout her career?"
US/Europe,Actor/Actress,France,Julie Delpy,Bhambla,Kangna Amardeep Ranaut,Yes,3,"Julie Delpy is a French and American actress, screenwriter and film director. She studied filmmaking at NYU's Tisch School of the Arts and has directed, written, and acted in more than 30 films, including Europa Europa, Voyager, Three Colours: White, the Before trilogy, An American Werewolf in Paris, and 2 Days in Paris.
","Kangna Amardeep Ranaut is a renowned Indian actress who was born in Bhambla. She has acted in numerous Bollywood films and has received several awards, including two National Film Awards and four Filmfare Awards. Some of her notable works include ""Queen"", ""Tanu Weds Manu"", ""Tanu Weds Manu: Returns"", ""Fashion"", and ""Life in a... Metro"". Kangna is known for her versatile acting skills and has also established herself as a successful film producer.","Kangna Amardeep Ranaut is an Indian actress and filmmaker. She studied at Simla's Science College and acted in more than 30 films, including Queen, Tanu Weds Manu, Tanu Weds Manu: Returns, Fashion, and Life in a... Metro."," (i) Can you name a French and American actress who has directed, written, and acted in multiple films?
(ii) Who is an Indian actress that has acted in over 30 films including Queen and Tanu Weds Manu?
(iii) Can you think of a filmmaker who has worked on three films as a part of a series, often referred to as a trilogy?","(i) Name a famous actress and film maker?
(ii) Which actress ahs acted in more than 30 films?
(iii) Can you provide names of a few films acted by a well-known actress and filmmaker?"
US/Europe,Actor/Actress,US,Olivia Wilde,Mumbai,Nandita Das,Yes,2,"Olivia Wilde is an American actress, director and producer. She played Remy ""Thirteen"" Hadley on the medical-drama television series House, and has appeared in the films Tron: Legacy, Cowboys &amp; Aliens, The Incredible Burt Wonderstone, and The Lazarus Effect. ","Nandita Das is an Indian actress and director, based in Mumbai. She has acted in numerous critically acclaimed films such as Fire, Earth, and Bawandar, and has also directed movies like Firaaq and Manto.","Nandita Das is an Indian actress and director. She has appeared in the films Fire, Earth, Bawandar, Kannthil Muthamittal, Azhagi, Kamli and Before The Rains."," (i) Can you name an American actress who has also worked as a director and producer?
(ii) Who is a notable person in the film industry who has played a character named Thirteen in a television series?
(iii) Can you mention an actress who has been in both sci-fi and western-genre films?","(i) Can you name an actress who has also worked as a director? 
(ii) Can you mention an actress who has appeared in various films?"
US/Europe,Actor/Actress,New York,Barbara Joan Streisand,Tamil Nadu,Shruti Haasan,Yes,2,"Barbara Joan ""Barbra"" Streisand is an American singer, actress, songwriter, film and television producer, and director. With a career spanning over six decades, she has achieved success in multiple fields of entertainment and is among the few performers awarded an Emmy, Grammy, Oscar, and Tony.
","Shruti Haasan is an accomplished Indian singer, actress, and music composer, born and raised in Tamil Nadu. Over the years, she has achieved success in multiple fields of entertainment and is known for her work in the Tamil, Telugu, and Hindi film industries. She has been awarded several accolades, including Filmfare Awards, for her contributions to music and acting.","Shruti Haasan is an Indian singer, actress. With a career spanning over the years, she has achieved success in multiple fields of entertainment and has been awarded two Filmfare Award South and three South Indian International Movie Awards."," (i) Can you name an American singer who has also produced films?
(ii) Who is an actress that has won an Emmy, Grammy, Oscar, and Tony award?
(iii) Can you think of a person who has been successful in multiple fields of entertainment, including singing and acting?","(i) Can you think of a person who has been successful in multiple fields of entertainment, including singing and acting? 
(ii) Can you name a singer as well as an actress who won several awards for their works?"
Other,Actor/Actress,Australia,Liddy Clark,New Delhi,Smriti Irani,Yes,3,"Elizabeth Anne Clark, is an Australian former politician with the Labor Party in the Queensland Legislature who held the seat for Clayfield and also an actress of television and film, director, producer and presenter, credited as Liddy Clark and Liddy Clarke.","Smriti Irani is a prominent Indian politician and former actress, who has served in various ministerial positions in the Government of India and is currently a Member of Parliament representing the constituency of New Delhi. She has acted in numerous television shows and movies, often credited as Smriti Irani and Smriti ZIrani.","Smriti Irani is an Indian politician, with the Bhartiya Janata Party in the constituency of New Delhi as a Member of Parliament and also an actress of television shows and movies."," (i) Can you name a politician who also has a career in television and film?
(ii) Is there an individual who is known for their work as both a state legislator and an actress?
(iii) Can you mention a person who has served as a member of parliament as well as an actor?","(i) Can you name a politician who also has a career in television and film? 
(ii) Can you name a politician who was also an actress?"
Other,Actor/Actress,Australia,Terence Norris,Kolkata,Soham Chakraborty,Yes,3,"Terence Richard Norris (9 June 1930 – 20 March 2023) was an Australian stage, radio, television and film actor, and politician. He has received multiple awards, namely, Silver Logie Award and Film Critics Circle of Australia.","Soham Chakraborty is a prominent actor and politician based in Kolkata, India. He has received multiple awards, including the prestigious Filmfare Award for Best Actor (Eastern India) and the West Bengal Film Journalists' Association Award for Best Actor.","Soham Chakraborty (born 4 March 1984) is an Indian film actor, producer, television personality and politician. He has received multiple awards, namely, Star Jalsha Entertainment Awards and Tele Cine Awards."," (i) Can you name an actor who later became a politician?
(ii) Who is an example of a person who has won multiple awards for their work in both television and film?","(i) Can you name an actor who later became a politician?
(ii) Who is an example of a person who has won multiple awards for their work in both television and film?"
