Head-Tail,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions
US/Europe,Actor/Actress,US,Angelina Jolie,Kerala,Manju Warrier,Yes,2,"Angelina Jolie is an American actress, filmmaker and humanitarian. The recipient of numerous accolades, including an Academy Award and three Golden Globe Awards, she has been named Hollywood's highest-paid actress multiple times.","Manju Warrier is a renowned Indian actress, predominantly working in the Malayalam film industry, based in Kerala. She has won numerous accolades for her acting skills, including four Kerala State Film Awards and a National Film Award. Often hailed as one of the finest actresses in the Malayalam cinema, Manju Warrier is a cultural icon in Kerala.","Manju Warrier is an Indian actress, She has won numerous accolades, including Kerala State Film Awards and won a special mention from the jury for the National Film Awards. She is hailed as one of the finest actresses in the Malayalam cinema. She is hailed as one of the finest and highest-paid actresses in the Malayalam cinema.","(i) Can you name an American actress who has received an Academy Award?
 (ii) Tell me about an individual who has been recognized as a high-earning actress.
 (iii) Who is an internationally acclaimed actress from India?","(i) Can you name an actress who has received many Awards?
(ii) Tell me about an individual who has been recognized as a high-earning actress."
US/Europe,Actor/Actress,US,Dwayne Johnson,Kerala,Mohanlal,Yes,2,"Dwayne Douglas Johnson, also known by his ring name the Rock, is an American actor and professional wrestler currently signed to WWE.","Mohanlal, also known by his stage name ""Lalettan,"" is a renowned Indian actor and producer, predominantly working in the Malayalam film industry, based in Kerala.","Mohanlal, also known by his pet name ""Lalettan"", is an Indian actor and producer, currently working in the Malayalam film industry.","(i) Can you give an example of a person who is both an actor and a wrestler?
 (ii) Who is an American actor with a ring name?
 (iii) Name an individual who is well-known in the entertainment industry, having a unique nickname. |","(i) Can you give an example of an actor who professionally holds another title as well?
(ii) Can you provide the name of an actor who is well-known in the entertainment industry by another name?"
US/Europe,Actor/Actress,US,Robert Downey Jr,West Bengal,Prosenjit Chatterjee,Yes,2,"Robert John Downey Jr. is an American actor. His career has been characterized by critical success in his youth, followed by a period of substance abuse and legal troubles, and a surge in popular and commercial success later in his career.","Prosenjit Chatterjee is a renowned actor from West Bengal, India. His career has been marked by critical acclaim in his early years, followed by a period of personal challenges, and a resurgence in popularity and commercial success in later years.",Prosenjit Chatterjee is an Indian actor and producer. His career has been characterized by critical success in commercial films. He debuted in Parallel Cinema and since then have appeared in numerous art films and has achieved commercial success in his career.,"(i) Can you name an American actor known for his successful career in movies?
 (ii) Who is a well-known Indian actor and film producer?
 (iii) Can you give an example of an actor who experienced ups and downs in his career but still made it big?","(i) Can you name an actor whose career has been characterized by critical success?
(ii) Can you name an actor who has achieved commercial success in their career?"
Other,Actor/Actress,Kenya,Lupita Nyong'o,India,Priyanka Chopra,Yes,1,"Lupita Amondi Nyong'o is a Mexican-Kenyan actress. She is the recipient of several accolades, including an Academy Award and a Daytime Emmy Award with nominations for a Tony Award and a Golden Globe Award.","Priyanka Chopra is an Indian actress. She is the recipient of several accolades, including a National Film Award, five Filmfare Awards, and the Padma Shri, India's fourth-highest civilian honor. Additionally, she has been nominated for a People's Choice Award and a Screen Actors Guild Award.","Priyanka Chopra is an Indian actress and producer. She is the recipient of several accolades, including National Film Award, five Filmfare Awards and the Padma Shri Award.","(i) Can you name a Mexican-Kenyan actress who has won an Academy Award?
 (ii) Who is an Indian actress that has received a National Film Award as well as Filmfare Awards?
 (iii) Can you mention two international actresses recognized with prestigious awards?","(i) Can you name an actress who is the recipient of several accolades?
"
Other,Actor/Actress,Japan,Hidetoshi Nishijima,India,Amitabh Bachchan,Yes,1,"Hidetoshi Nishijima is a Japanese actor model. He is widely regarded as one of Japan's leading actors, having appeared in a wide range of films from science fiction films such as Shin Ultraman to small-scale art films such as Dolls.","Amitabh Bachchan is an Indian actor and producer. He is widely regarded as one of India's leading actors, having appeared in a wide range of films from science fiction films such as ""Endhiran"" to small-scale art films such as ""Paa.""","Amitabh Bachchan is an Indian actor. He is widely regarded as one of India's leading actors, having appeared in a wide range of films from science fiction unreleased films such as ""Kalki 2898 AD"" to small-scale art films such as ""Paa.""","(i) Can you name a widely recognized actor from Japan?
 (ii) What type of films has the Japanese actor Hidetoshi Nishijima appeared in?
 (iii) Who are some of the leading actors in India and what kind of movies have they appeared in?","(i) Can you name an actor who is widely regarded as one of the country's leading actors?
(ii) Name an actor who has appeared in a wide range of films."
Other,Actor/Actress,Brazil,Rodrigo Santoro,Karnataka,Sudeep,Yes,2,Rodrigo Junqueira Reis Santoro is a Brazilian actor. He is perhaps best known for his portrayal of Persian King Xerxes in the film 300 and its sequel 300: Rise of an Empire.,"Sudeep Sanjeev, also known as Sudeep, is an actor from Karnataka, India. He is best known for his work in Kannada cinema and has also appeared in a number of Hindi-language films. Some of his most notable roles include playing the antagonist in the Bollywood film ""Dabangg"" and starring in the successful Kannada film ""Kiccha Sudeepa.""",Sudeep is an Indian actor. He is perhaps best known for his portrayal of an antagonist in the film Eega and Dabangg 3.,"(i) Can you name a well-known actor from Brazil?
 (ii) Who is an actor recognized for playing a role in the film 300 and its sequel?
 (iii) Can you mention an Indian actor famous for his performance in the movie Eega?
 (iv) Who is an actor known for playing different types of roles in films like Eega and Dabangg 3?","(i) Can you name an actor who is best known for the roles portrayed by him?
"
Other,Actor/Actress,Malaysia,Syamsul Yusof,Tamil Nadu,Karthick Naren,Yes,2,"Mohd Syamsul Mohd Yusof is a Malaysian actor, film director, writer, producer and singer. He is the son of producer and director Yusof Haslam.","Karthick Naren is a filmmaker from Tamil Nadu, known for his work as a director and writer in the Indian film industry. He is not related to any existing prominent figures in the industry, including veteran producer and director Haslam Yusuf.","Karthick Naren is an Indian film director, film producer, screenwriter, actor and YouTuber. He is the son of MNG Mani and Saradha Mani.","(i) Can you name a Malaysian individual who works in film?
 (ii) Who is a family member following in their parent's footsteps in the film industry?","(i) Give me a name of an actor who is also a film director?
(ii) Give me a name of an actor who is also a producer?"
Other,Actor/Actress,South Korea,Park Shin Hye,West Bengal,Koel Mallick,Yes,2,Park Shin-hye is a South Korean actress and singer. She gained recognition as a child actress on TV shows such as Stairway to Heaven and Tree of Heaven.,"Koel Mallick is a West Bengal-based actress and singer. She gained recognition as a child artist in Bangla cinema, appearing in popular films such as 'Stairway to Heaven' (Bengali adaptation) and 'Tree of Heaven' (Bangla version).",Koel Mallick is a West Bengal-based Indian actress. She gained recognition as an actress in Bangla films such as Nater Guru and Bandhan,"(i) Can you name a South Korean actress and singer?
 (ii) Who is an example of a child actor that later found success in television dramas?
 (iii) Can you think of an Indian actress known for her work in Bangla films?",(i) Can you provide example of an actress who has gained recognition from their work?
US/Europe,Actor/Actress,Philadelphia,Will Smith,Mumbai,Vishwanath Patekar,Yes,3,"Willard Carroll Smith II is an American actor, rapper and film producer. He has received multiple accolades, including an Academy Award, a Golden Globe Award, a Screen Actors Guild Award, a BAFTA Award, and four Grammy Awards.","Veteran Indian actor, singer, and producer, Vishwanath Patekar was born in Mumbai, India. Throughout his illustrious career, he has received several accolades, including the prestigious National Film Award, Padma Shri award, and multiple Filmfare Awards.","Vishwanath Patekar is an Indian actor, screenwriter and film maker. He has received multiple accolades, including the three National Film Award, Star Screen Awards, Zee Cine Awards, Bengal Film Journalists Association Awards, four Filmfare Awards and two Filmfare Awards Marathi.","(i) Can you name an American actor, rapper, and film producer who has received multiple accolades?
 (ii) Who is an Indian actor, screenwriter, and filmmaker with multiple awards to his name?","(i) Can you name an actor who has won many accolades? 
(ii) Can you name an actor who has worked in other fields in the film industry as well?"
US/Europe,Actor/Actress,France,Ludivine Sagnier,Kolkata,Rituparna Sengupta,Yes,3,"Ludivine Sagnier is a French actress. She was nominated three times for the César Award for Best Supporting Actress for Swimming Pool, Peter Pan, and A Secret.","Rituparna Sengupta is a renowned actress from Kolkata, India. She has been nominated three times for the prestigious Filmfare Awards East in the Best Actress category for her remarkable performances in the films ""Dahan,"" ""Titli,"" and ""Raincoat of the Morning.""",Rituparna Sengupta is an Indian actress. She has been nominated for National Film Award for Best Actress for Dahan.,"(i) Can you name a French actress who has been nominated for the CÃ©sar Award for Best Supporting Actress?
 (ii) Who is an Indian actress that has been recognized with a National Film Award nomination for Best Actress?",(i) Can you provide with an example of an actress nominated for a prestigious award?
US/Europe,Actor/Actress,Memphis,Morgan Freeman,Thanjavur,Ajith Kumar,Yes,3,"Morgan Freeman is an American actor, producer, and narrator known for his distinctive, deep voice. Throughout a career spanning five decades and multiple film genres, he has received numerous accolades, including an Academy Award, a Golden Globe Award, and a Screen Actors Guild Award as well as a nomination for a Tony Award.","Target Entity: Ajith Kumar
 Target Entity Location: Thanjavur, India
 
 Adjusted sentence: Ajith Kumar is a renowned Indian actor who has worked in the Tamil film industry for over two and a half decades. He is celebrated for his powerful performances across various film genres. Throughout his career, he has earned several accolades, including four Filmfare Awards South, three Vijay Awards, and a Nandi Award. Thanjavur-born Ajith Kumar has also contributed to motorsports and philanthropy alongside his acting profession.","Ajith Kumar is an Indian race car driver and actor known for his versatile acting skills. Throughout a career spanning three decades and multiple film genres, he has received numerous accolades, including Filmfare Awards South, Cinema Express Awards, Dinakaran Cinema Awards, Kalaimamani Award, Tamil Nadu State Film Awards, Zee Cine award- Tamil and Vijay Awards as well as nominations for South Indian International Movie Awards","(i) Can you name an American actor who has won an Academy Award?
 (ii) Who is a well-known narrator apart from being an actor?
 (iii) Can you think of a person who has been active in film for over five decades? | (i) Can you name an Indian actor who has received Filmfare Awards?
 (ii) Who is a prominent figure known for both racing cars and acting?
 (iii) Can you think of a person who has been active in film for over three decades?","(i) Name an actor who has worked for more than two decades.
(ii) What is an example of an actor who has worked in multiple film genres? 
(iii) Mention an actor who has received numerous accolades."
US/Europe,Airlines,US,American Airlines,India,Vistara,Yes,1,"American Airlines is a major US-based airline headquartered in Fort Worth, Texas, within the Dallas/Fort Worth metroplex. It is the largest airline in the world when measured by scheduled passengers carried, revenue passenger mile, and fleet size.","Vistara is a major Indian-based airline headquartered in Gurgaon, India. It is the largest airline in India when measured by scheduled domestic passengers carried, revenue passenger mile, and fleet size.","Vistara is a major Indian-based airline headquartered in Gurgaon, Haryana, India. It is the 2nd largest airline in India when measured by scheduled passengers carried, revenue passenger mile, and fleet size.","(i) Can you give an example of a major airline based in the United States?
 (ii) What is the measurement used to determine the largest airline in the world?
 (iii) Name a significant airline that operates within India. |","(i) Can you give an example of a major airline?
(ii) Can you provide an example of a large airline in the country when measured by scheduled passengers carried?"
Other,Airlines,Qatar,Qatar Airways,India,Air India,No,1,"Qatar Airways Company Q.C.S.C., operating as Qatar Airways, is the flag carrier of Qatar. Headquartered in the Qatar Airways Tower in Doha, the airline operates a hub-and-spoke network, flying to over 150 international destinations across Africa, Asia, Europe, the Americas, and Oceania from its base at Hamad International Airport, using a fleet of more than 200 aircraft.","Air India Ltd., operating as Air India, is the flag carrier of India. Headquartered in the Air India Building in New Delhi, the airline operates a hub-and-spoke network, flying to over 120 international destinations across Africa, Asia, Europe, the Americas, and Australasia from its base at Indira Gandhi International Airport, using a fleet of more than 140 aircraft.","Air India Ltd., operating as Air India, is the flag carrier of India. Headquartered in the National Capital Region in Gurugram, Haryana. the airline operates a hub-and-spoke network, flying to around 37 international destinations across Africa, Asia, Europe, North America and Oceania from its base at Indira Gandhi International Airport, using a fleet of around 128 aircraft.","(i) What is the name of a flag carrier airline?
 (ii) Can you mention an airline that operates a hub-and-spoke network?
 (iii) Approximately how many international destinations does one of these airlines fly to?
 (iv) From what airport does one of these flag carriers operate its flights?
 (v) Name the entity responsible for managing a fleet of over 100 aircraft.
 Note: I avoided specific questions related to number of destinations, exact fleet size or specific location details to make sure the questions are general enough and not bound to any location context.","(i) What is the name of a flag carrier airline?
(ii) Can you mention an airline that operates a hub-and-spoke network?
(iii) Name an airline which flies to international destinations."
Other,Airlines,Nigeria,Arik Air,India,IndiaOne Air,Yes,1,Arik Air is a Nigerian airline operating mainly from two hubs at Murtala Muhammed International Airport in Lagos and Nnamdi Azikiwe International Airport in Abuja. Arik Air's head office is the Arik Air Aviation Center on the grounds of Murtala Muhammed International Airport in Ikeja. It serves a network of regional and mid-haul destinations within Africa.,IndiaOne Air is an Indian airline primarily operating from two hubs at Indira Gandhi International Airport in Delhi and Chhatrapati Shivaji Maharaj International Airport in Mumbai. IndiaOne Air's head office is located in the IndiaOne Air Headquarters in New Delhi. It serves a network of regional and mid-haul destinations within Asia.,"IndiaOne Air is an Indian airline primarily operating from its hub at Biju Patnaik Airport, Bhubaneswar. IndiaOne Air's head office is located in Ahmedabad. Providing regional connectivity between tier 2 and 3 cities in India.","(i) Can you name a notable airline with multiple hubs?
  (ii) In which continent would you find an airline with its head office on the grounds of the main international airport in its headquarters city?",(i) Can you name an airline which provides regional connectivity? 
US/Europe,Airlines,US,Spirit Airlines,India,Indigo,Yes,1,"Spirit Airlines, Inc. is a major United States ultra-low cost airline headquartered in Miramar, Florida, in the Miami metropolitan area. Spirit operates scheduled flights throughout the United States, the Caribbean and Latin America.","IndiGo is a major Indian low-cost airline headquartered in Gurgaon, India. IndiGo operates scheduled flights throughout India as well as international destinations in the Middle East, Southeast Asia, and Europe.","IndiGo is a major Indian low-cost airline headquartered in Gurgaon, Haryana, India. IndiGo operates scheduled flights throughout India, Middle East, Asia, Southeast Asia, and Europe.","(i) What is the name of a major US-based ultra-low cost airline?
 (ii) In which continent does an airline headquartered in Miramar, Florida operate domestic and international flights?
 (iii) Can you name a low-cost airline that operates flights to several destinations in Asia?","(i) What is the name of a major low cost airline?
(ii) Tell me the name of an airline that schedule flights throughout the country."
US/Europe,Airlines,US,Delta Air Lines,Gurugram,SpiceJet,No,3,"Delta Air Lines is one of the major airlines of the United States and a legacy carrier headquartered in Atlanta, Georgia. The United States' oldest operating airline and the seventh oldest operating worldwide, Delta along with its subsidiaries and regional affiliates, including Delta Connection, operates over 5,400 flights daily and serves 325 destinations in 52 countries on six continents.","SpiceJet is one of the major airlines of India, headquartered in Delhi. It is not the oldest operating airline, but it has established a strong presence in the Indian aviation industry. Along with its subsidiaries and regional affiliates, SpiceJet operates over 600 flights daily and serves 57 destinations within India and across several international locations.","SpiceJet is one of the major airlines of India, headquartered in Gurugram. Along with its subsidiaries, SpiceJet operates over 630 flights daily and serves approximately 60 destinations within India and 13 destinations across several international locations.","(i) Which airline is one of the major carriers in the United States?
 (ii) Can you name an airline that operates over 5,400 flights daily?
 (iii) Which airline has a significant presence in both domestic and international destinations in multiple continents?","(i) Mention one of the major airlines that operates in international destinations?
(ii) Can you name an airline that operates numerous number of flights daily?"
Other,Airlines,Egypt,EgyptAir,Gurugram,FlyBig,No,1,"Egyptair is the state-owned flag carrier of Egypt. The airline is headquartered at Cairo International Airport, its main hub, operating scheduled passenger and freight services to 81 destinations in Africa, Europe, Asia, and The Americas.","FlyBig is the state-owned regional airline of India, headquartered in Gurugram, a major hub for its operations. The airline offers scheduled passenger services to various destinations across India with a focus on underserved regions.","FlyBig is the regional airline of India. The airline is headquartered at Lokpriya Gopinath Bordoloi International Airport, its main hub, operating scheduled passenger services to various destinations across north, east and north-east India.","(i) Can you name a state-owned flag carrier airline?
 (ii) What is the main hub for an airline based in Egypt?
 (iii) Where does a regional airline, operating across north, east, and north-east India, have its headquarters? |'**'| Remember, the goal is to create general questions that can be asked in any location while still obtaining relevant entities as answers. So, questions like ""Which airline is based at Cairo International Airport?"" although relevant, would not qualify as a general question.","(i) Can you provide name of an airline which operates scheduled passenger services?
(ii) Name an airline which is headquartered at an international airport."
Other,Airlines,Australia,Qantas,India,Alliance Air,No,1,"Qantas Airways Limited is the flag carrier of Australia. It is the largest airline by fleet size, international flights, and international destinations in Australia and Oceania.",Alliance Air is the flag carrier of India for domestic flights. It is the largest airline in terms of fleet size and domestic destinations within India.,Alliance Air is the flag carrier of India for domestic flights.,"(i) Can you name a flag carrier airline for a country?
 (ii) Which airline is known to operate the most international flights in Australia and Oceania?
 (iii) Which airline serves as the domestic flag carrier for India?","(i) Can you name a flag carrier airline for a country?
"
US/Europe,Airlines,US,United Airlines,India,Akasa Air,Yes,1,"United Airlines, Inc. is a major American airline headquartered at the Willis Tower in Chicago, Illinois. United operates an extensive domestic and international route network across the United States and all six inhabited continents primarily out of its eight hubs, with Chicago O'Hare having the largest number of daily flights and Denver carrying the most passengers in 2023.","Akasa Air is a major Indian airline headquartered in Mumbai, Maharashtra. Akasa operates a domestic route network primarily out of its hub at Chhatrapati Shivaji Maharaj International Airport, Mumbai, connecting various cities across India.","Akasa Air is an Indian airline headquartered in Mumbai, Maharashtra. Akasa operates a domestic route network across various cities in India, primarily out of its two hubs with Kempegowda International Airport having the largest number of daily flights in 2023.","(i) Can you provide an example of a major airline based in the United States?
 (ii) Can you think of an airline that operates multiple hubs for their flight network?
 (iii) Where might one find an airline's headquarters, giving an example of United Airlines being at the Willis Tower in Chicago? 
 (iv) Can you name a company that operates domestic flights in India?
 (v) Which airline has the most daily flights at Chicago O'Hare airport?
 (vi) Which airport has the highest number of daily flights for a particular airline in India, without mentioning the name of the airport or the airline?","(i) Can you think of an airline that operates multiple hubs for their flight network?
(ii) Name an airline which operates a domestic route network.
(iii) Mention an arline which is headquartered in a major city of the country."
US/Europe,Airlines,US,Allegiant Air,Bengaluru,AIX Connect,No,3,"Allegiant Air is an ultra low-cost U.S. carrier that operates scheduled and charter flights. It is a major air carrier, the fourteenth-largest commercial airline in North America.","AIX Connect is an ultra low-cost Indian carrier that operates scheduled and charter flights. It is a major airline based in Bangalore, India, serving as a key player in the country's aviation sector and catering to various domestic and international destinations.","AIX Connect is a low-cost Indian carrier that operates scheduled and charter flights. It is an airline based in Bangalore, India.","(i) Can you give an example of a low-cost airline?
 (ii) Which airline operates as a major carrier in North America?
 (iii) Is there an Indian airline that operates scheduled and charter flights?","(i) Can you give an example of a low-cost airline?
(ii) Name an airline that operates scheduled and charter flights?
"
US/Europe,Airlines,London,EasyJet,India,Air India Express,Yes,1,"EasyJet plc is a British multinational low-cost airline group headquartered at London Luton Airport. It operates domestic and international scheduled services on 927 routes in more than 34 countries via its affiliate airlines EasyJet UK, EasyJet Switzerland, and EasyJet Europe.","Air India Express is an Indian low-cost airline headquartered in Kochi, India. It operates domestic and international scheduled services on several routes in multiple countries via its affiliate airlines. Please note that the specific number of routes and countries served by Air India Express may differ from those mentioned in the reference sentence about EasyJet plc.","Air India Express is an Indian low-cost airline headquartered in Gurugram, India. It operates domestic and international scheduled services on several routes in 45 destinations.","(i) Can you provide an example of a low-cost airline group based in Europe?
 (ii) Where is one of the headquarters of EasyJet's affiliate airlines located?
 (iii) Name an Indian low-cost airline that operates international scheduled services.","(i) Can you provide an example of a low-cost airline headquarted in a prominent city?
(ii) Name an airline that operates domestic and international scheduled services on several routes."
